seed,dtype,point,quantized_point,order,observed,reference,reference_magnitude,absolute_error,scaled_error
20260918,float32,0.0,0.0,2,0.10788620263338089,0.10788621677496857,0.10788621677496857,1.4141587678651035e-08,1.4141587678651035e-08
20260918,float32,0.0,0.0,3,0.03630202263593674,0.036302033571980495,0.036302033571980495,1.0936043758069669e-08,1.0936043758069669e-08
20260918,float32,0.0,0.0,4,-0.2784211337566376,-0.27842112714369727,0.27842112714369727,6.612940306460757e-09,6.612940306460757e-09
20260918,float32,0.0,0.0,5,0.03357788175344467,0.03357788686043652,0.03357788686043652,5.106991850245546e-09,5.106991850245546e-09
20260918,float32,0.0,0.0,6,0.02402605302631855,0.024025980494790343,0.024025980494790343,7.253152820713149e-08,7.253152820713149e-08
20260918,float32,0.0,0.0,7,-5.820672512054443,-5.820673684042634,5.820673684042634,1.1719881909399987e-06,2.0134923456592356e-07
20260918,float32,0.0,0.0,8,32.27118682861328,32.27117780617129,32.27117780617129,9.022441993522534e-06,2.7958204834399176e-07
20260918,float32,0.0,0.0,9,198.1946563720703,198.19468977764998,198.19468977764998,3.3405579671352825e-05,1.6854931738499034e-07
20260918,float32,0.0,0.0,10,-1048.3734130859375,-1048.373299718065,1048.373299718065,0.00011336787247273605,1.0813693223894927e-07
20260918,float32,0.5,0.5,0,-0.15696555376052856,-0.15696552666961014,0.15696552666961014,2.7090918425232147e-08,2.7090918425232147e-08
20260918,float32,0.5,0.5,1,0.025478243827819824,0.025478239454698043,0.025478239454698043,4.3731217813647305e-09,4.3731217813647305e-09
20260918,float32,0.5,0.5,2,0.09137075394392014,0.09137076110278494,0.09137076110278494,7.158864806511289e-09,7.158864806511289e-09
20260918,float32,0.5,0.5,3,-0.1025693267583847,-0.10256932657833553,0.10256932657833553,1.8004917001768206e-10,1.8004917001768206e-10
20260918,float32,0.5,0.5,4,-0.27128663659095764,-0.2712866163927412,0.2712866163927412,2.0198216432731897e-08,2.0198216432731897e-08
20260918,float32,0.5,0.5,5,0.17685310542583466,0.1768531523558751,0.1768531523558751,4.69300404370987e-08,4.69300404370987e-08
